enabled,year,county_norm,from_precinct_norm,current_match_method,current_top_suggested_dst_vtd20,override_src_vtdst,override_dst_vtd20,override_reason,review_status,review_notes
0,2000,SHELBY,115 MOR,forced_best_name,008263,,,,pending,
0,2000,SHELBY,104 6 COL 6,forced_best_name,008271,,,,pending,
0,2000,SHELBY,105 02 COR 2,forced_best_name,008255,,,,pending,
0,2006,DAVIDSON,SAFETY PRECINCT,forced_best_name,001816,,,,pending,
0,2008,DAVIDSON,SAFETY PRECINCT,forced_best_name,001816,,,,pending,
0,2000,SHELBY,105 03 COR 3,forced_best_name,008076,,,,pending,
0,2000,SHELBY,105 06 COR 6,forced_best_name,008079,,,,pending,
0,2000,SHELBY,102 2 BRU 2,forced_best_name,008066,,,,pending,
0,2006,BEDFORD,LIBERTY SCHOOL,forced_best_name,000101,,,,pending,
0,2000,SHELBY,100 ARL,forced_best_name,008051,,,,pending,
0,2000,SHELBY,105 09 COR 9,forced_best_name,008080,,,,pending,
0,2006,WASHINGTON,11W BOONES CR CC OUT,forced_best_name,009305,,,,pending,
0,2008,WASHINGTON,11W BOONES CR CH OUT,forced_best_name,009305,,,,pending,
0,2000,SHELBY,104 2 COL 2,forced_best_name,008074,,,,pending,
0,2006,HAMILTON,ELECTION COMMISSION,forced_best_name,003399,,,,pending,
0,2006,SULLIVAN,2VP VALLEY PIKE SCH,forced_best_name,008504,,,,pending,
0,2008,GREENE,HARDINS 11,forced_best_name,003052,,,,pending,
0,2008,SULLIVAN,2VP VALLEY PIKE SCH,forced_best_name,008504,,,,pending,
0,2022,HAYWOOD,44806,forced_best_name,003906,,,,pending,
0,2002,WASHINGTON,11I BOONES CHRISTIAN,forced_best_name,009322,,,,pending,
0,2004,WASHINGTON,11I BOONES CHRISTIAN,forced_best_name,009322,,,,pending,
0,2002,MAURY,CITY HALL,forced_best_name,005952,,,,pending,
0,2004,MAURY,CITY HALL,forced_best_name,005952,,,,pending,
0,2004,HAMILTON,X SUMMIT 2,tail_fuzzy_name,003466,,,,pending,
0,2002,HAMILTON,120 TENNESSEE RIVER,forced_best_name,003454,,,,pending,
0,2008,BEDFORD,402 LIBERTY,forced_best_name,000103,,,,pending,
